annual_income_k,spending_score,visits_per_month,avg_order_value,member_years,channel
32,72,9,38,1,App
35,75,10,41,2,App
28,68,8,34,1,App
82,21,2,118,6,Store
88,18,1,130,7,Store
76,26,3,105,5,Store
55,48,5,64,3,Web
59,52,6,70,4,Web
62,55,6,76,3,Web
24,81,11,29,1,App
91,16,1,142,8,Store
58,50,5,68,4,Web
30,70,9,36,2,App
84,24,2,124,6,Store
64,57,7,78,4,Web
27,77,10,32,1,App
95,19,1,151,9,Store
60,53,6,72,4,Web
33,74,10,39,2,App
80,25,2,112,6,Store
57,46,5,66,3,Web
29,79,11,35,1,App
87,20,1,132,8,Store
61,54,6,73,4,Web
26,83,12,31,1,App
90,17,1,140,8,Store
56,49,5,65,3,Web
34,73,9,40,2,App
78,28,3,108,5,Store
63,56,6,77,4,Web
